"","L4","Vip","Lamp5","L5 NP","Sst","L5 IT","Oligo","L6 PT","L6 IT","Sncg","Pvalb","L2/3 IT","Astro","L5 PT","L6b","Endo","Peri","Meis2","Macrophage","CR","VLMC","SMC"
"638",0,0.170530091894354,0,0,0,0,0,0.166436333609588,0,0,0,0.34741263898398,0,0,0,0,0,0,0,0,0,0
"639",0,0.172652441848628,0,0,0.125018311369089,0,0,0,0.127285194797903,0,0,0.214493241314386,0,0,0,0,0,0,0,0,0,0
"640",0,0,0,0,0,0,0,0,0.258150638946401,0,0,0.218487359789897,0.15946899661453,0,0,0,0,0,0,0,0,0
"641",0,0,0,0,0,0,0.246019619507317,0.20972899908955,0,0,0,0,0,0,0,0.125596334194244,0,0.127452562615178,0,0,0,0
"642",0,0,0,0,0,0.203874337686283,0,0,0,0,0,0.359363520534084,0,0,0,0.139422627637123,0,0,0,0,0,0
"643",0,0,0,0,0,0,0.154089254126605,0.143880171381105,0.354002142355093,0,0,0,0,0,0,0,0,0,0,0,0,0
"644",0,0.216856769189597,0,0,0,0.226702067961977,0,0,0,0,0,0.294135689774453,0,0,0,0,0,0,0,0,0,0
"645",0,0,0,0,0,0,0.156820330457379,0,0,0,0,0.499954095472477,0,0,0,0,0,0,0,0,0,0
"679",0,0,0,0,0,0,0.247557920234927,0,0,0.127368488961548,0,0.359271499151641,0,0,0,0,0,0,0,0,0,0
"680",0,0,0,0,0.149871644050207,0,0,0.143880171381105,0,0,0,0,0,0.212220809770196,0,0.126266976847355,0,0,0,0,0,0
"681",0,0,0,0,0,0,0,0.144241247497375,0.530767604634235,0,0,0,0,0,0,0,0,0,0,0,0,0
"682",0,0,0,0,0,0.144241247497375,0.244002434485256,0,0,0,0,0.228823683101714,0,0,0,0,0,0,0,0,0.125812129162001,0
"683",0,0.141173489053512,0,0,0,0,0.27106211522961,0.200552391771221,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"684",0,0,0,0.217188330868185,0,0,0,0.126852753546009,0,0,0.1445865790185,0,0,0,0,0,0,0,0,0,0,0.126177267942049
"685",0,0,0,0,0,0,0.211391612244525,0,0,0,0,0.475249216359519,0,0,0,0,0,0,0,0,0,0
"686",0,0.304115807604289,0.163141727193437,0,0,0,0,0.127185840677105,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"687",0,0,0.14367715412932,0,0,0,0,0,0,0,0,0.525412898518855,0,0,0,0,0,0,0,0,0,0
"688",0,0,0,0,0.175685152247483,0.213879351776349,0,0,0,0,0,0.291593366003557,0,0,0,0,0,0,0,0,0,0
"689",0,0.139692625674158,0,0.207104044646148,0,0,0.131836594176414,0,0,0,0,0,0.126068624499844,0,0,0,0,0,0,0,0,0
"712",0,0.175178961742428,0,0,0,0,0,0,0,0.126152923048324,0,0.353413820768462,0,0,0,0,0,0,0,0,0,0
"713",0,0,0,0,0,0,0.241773855216888,0,0,0,0,0.126450085818169,0,0.330794797584715,0,0,0,0,0,0,0,0
"714",0,0,0,0,0,0,0.233380716296036,0,0,0,0,0.513974766421422,0,0,0,0,0,0,0,0,0,0
"715",0.165991815607461,0,0,0,0,0,0.231620367497368,0,0,0,0,0.226889754248708,0,0,0,0.129708120291287,0,0,0,0,0,0
"744",0,0,0,0,0,0.226246000700776,0,0.217116161149932,0.132270890277926,0,0,0,0,0,0,0,0,0,0,0,0,0.125948625619381
"745",0,0,0,0,0,0.330486260124779,0.152766638942875,0,0,0,0,0.125567046017845,0,0,0,0,0,0,0,0,0,0
"746",0,0,0,0,0,0,0.24249783251325,0,0,0,0,0.426564663116885,0,0,0,0.132421325352671,0,0,0,0,0,0
"747",0,0,0,0,0,0.166874227333775,0.248627660296812,0,0.221404786523159,0,0,0.126038666214257,0,0,0,0,0,0,0,0,0,0
"748",0,0,0.137548270656358,0,0,0,0,0.1435166847351,0.125793867249328,0,0,0,0,0.226599984324279,0,0,0,0,0,0,0,0
"749",0.132489419627494,0,0,0,0.125009995519498,0,0,0,0.392637985318997,0,0,0,0,0,0,0,0,0,0,0,0,0
"752",0,0.1414502295933,0.19603852535408,0,0,0,0.131728659375061,0,0,0,0,0,0.126619518547163,0,0,0,0,0,0,0,0,0
"753",0,0.181051908275867,0.203252200748507,0,0,0,0,0,0,0,0.198575758068788,0,0,0,0,0,0,0,0,0.170361248693679,0,0
"782",0.144420874279228,0,0,0,0,0.22090477462944,0,0,0,0,0.249090592621216,0.126173927825754,0,0,0,0,0,0,0,0,0,0
"783",0,0.148812330177933,0,0,0,0.373428162227428,0,0,0.126266947484294,0,0,0,0,0,0,0,0,0,0,0,0,0
"784",0,0,0,0,0,0,0,0,0,0,0.164716265458152,0.345406274108173,0,0,0,0,0,0,0,0,0.127734791359055,0
"785",0,0,0,0,0.272411312672441,0.348948315997274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"815",0.159664433887822,0,0,0,0,0,0,0,0,0,0,0.369821960603227,0,0,0,0,0,0,0,0,0,0.128843740067243
"816",0,0,0.184143448599696,0,0,0,0,0,0,0,0,0.370023489987707,0.12717589517805,0,0,0,0,0,0,0,0,0
"817",0.152248696461141,0,0,0,0,0,0,0,0,0,0,0.496281378034067,0,0,0,0,0,0,0,0,0,0
"818",0,0,0.13697417058611,0,0,0.204012285313931,0,0.126992645305877,0,0,0,0,0,0,0,0,0,0,0,0,0.126040696362399,0
"820",0,0,0,0,0,0,0,0,0,0.126374484169324,0,0.538338692995891,0,0,0,0,0,0,0,0,0,0
"823",0,0,0,0,0,0,0,0,0,0,0,0.172099232180176,0.127437541814871,0,0,0,0,0,0,0,0.313616583657501,0
"824",0,0,0,0,0,0,0,0.125510296428977,0,0,0.169758959103661,0,0,0,0,0,0,0,0,0,0.311120126659518,0
"849",0,0.150789191261284,0,0,0,0,0,0,0,0,0,0.350055448556501,0,0,0,0,0,0,0,0,0,0.127046757286751
"850",0.127088308820769,0,0,0,0,0.204276886493019,0,0,0,0.126792095757527,0.157935009697857,0,0,0,0,0,0,0,0,0,0,0
"851",0.142228183933674,0,0,0,0,0.207482691872215,0,0.167518973977322,0,0,0,0,0,0,0,0,0,0,0,0.126584305222986,0,0
"852",0,0,0,0,0,0.165540519447481,0,0,0,0,0.148616491416294,0.206848648224879,0,0,0,0,0,0,0,0,0.125524166957989,0
"854",0.16773073712268,0,0,0,0,0,0,0,0.196961162964005,0,0,0.226163507403741,0,0,0,0.128971997224612,0,0,0,0,0,0
