"sample_name","x","y","rmax","subclass","broad_class"
1,9428.77577715789,8798.33373598945,0.0053475935828877,"Sst","Inh"
3,5518.32668590217,14650.3331924721,0.0053475935828877,"L5 PT","Ex"
5,5998.50028874056,17729.9994726034,0.0053475935828877,"L2/3 IT","Ex"
6,5951.61953211529,4534.52919166218,0.0053475935828877,"L5 IT","Ex"
9,9015.47586226568,16983.6377826868,0.0053475935828877,"L6 PT","Ex"
11,10534.7475787829,19435.6964437411,0.0053475935828877,"Sst","Inh"
12,17234.8509061372,7993.1946038182,0.0053475935828877,"L4","Ex"
13,9768.94410967243,18075.5427988378,0.0053475935828877,"Lamp5","Inh"
14,5111.27185429956,15879.4674750338,0.0053475935828877,"L5 PT","Ex"
16,13981.8238550976,5228.53197556885,0.0053475935828877,"Macrophage","Glia"
18,16908.4207350762,11312.0382935141,0.0053475935828877,"L5 PT","Ex"
19,13323.8556454485,3079.5102232798,0.0053475935828877,"L2/3 IT","Ex"
20,15281.9961699582,12904.7941325447,0.0053475935828877,"L6 PT","Ex"
21,7879.46350695188,19046.937590227,0.0053475935828877,"L6 IT","Ex"
22,14845.0484561331,12740.1572363712,0.0053475935828877,"Sst","Inh"
23,29.168226395466,14828.2457290988,0.0053475935828877,"Sst","Inh"
25,12977.9056204252,9680.21310038565,0.0053475935828877,"L6 PT","Ex"
27,14793.3164457293,8898.35792182342,0.0053475935828877,"Lamp5","Inh"
28,14743.5754769299,12166.5995757872,0.0053475935828877,"Sst","Inh"
30,10658.0048671908,4017.34719064662,0.0053475935828877,"Sst","Inh"
33,10860.3702746132,18089.5587121165,0.0053475935828877,"Pvalb","Inh"
34,18455.0999562312,6059.25680763502,0.0053475935828877,"L2/3 IT","Ex"
35,14962.2524027158,13837.3131052396,0.0053475935828877,"Pvalb","Inh"
36,10495.3550892862,17691.6896749776,0.0053475935828877,"Lamp5","Inh"
37,10508.4133514697,8456.66683858644,0.0053475935828877,"Macrophage","Glia"
39,453.239012066744,14598.6212607266,0.0053475935828877,"Sncg","Inh"
40,15406.567401013,10077.8316908011,0.0053475935828877,"L6 PT","Ex"
41,7524.90971937708,15606.5020213161,0.0053475935828877,"Sst","Inh"
42,17526.0656325379,4361.28326339475,0.0053475935828877,"Pvalb","Inh"
43,10112.879469346,18608.3469092365,0.0053475935828877,"L6 IT","Ex"
45,11790.8170780217,8935.74365307946,0.0053475935828877,"Sst","Inh"
47,16950.2810460039,9087.18814819821,0.0053475935828877,"Sst","Inh"
51,12721.2175195565,7150.67953947771,0.0053475935828877,"Macrophage","Glia"
52,13927.9529460176,6627.91630262815,0.0053475935828877,"L6 IT","Ex"
53,10881.3913360496,10206.7908037617,0.0053475935828877,"Sst","Inh"
54,13828.8233905339,4675.73774074776,0.0053475935828877,"L5 PT","Ex"
55,4150.92916194882,16730.3675090414,0.0053475935828877,"L2/3 IT","Ex"
59,10184.1622491145,9724.5893050008,0.0053475935828877,"Endo","Endo"
61,14713.8225593227,14330.2270659423,0.0053475935828877,"Pvalb","Inh"
62,7546.90008578848,10190.7502451449,0.0053475935828877,"Vip","Inh"
64,8315.28327776707,20583.0522786709,0.0053475935828877,"Endo","Endo"
69,10006.860384247,8851.15747915208,0.0053475935828877,"L5 PT","Ex"
70,9424.84843694979,11172.1382628265,0.0053475935828877,"Vip","Inh"
71,9396.56324230055,10889.7874300345,0.0053475935828877,"L5 NP","Ex"
72,7486.5932524896,4891.23857398895,0.0053475935828877,"VLMC","Glia"
73,9869.6561520497,16403.6094970458,0.0053475935828877,"L4","Ex"
74,14879.4685378278,3478.40008135161,0.0053475935828877,"Sst","Inh"
76,13159.8748692339,2292.43784404469,0.0053475935828877,"Vip","Inh"
77,14192.4069870936,5318.48227438614,0.0053475935828877,"L6 PT","Ex"
78,9101.91721797904,19075.0951308865,0.0053475935828877,"L2/3 IT","Ex"
79,5721.0113419799,13106.7029666984,0.0053475935828877,"L5 NP","Ex"
80,5855.70371312102,15407.1269009726,0.0053475935828877,"Sst","Inh"
81,6150.05844956863,10591.9184470851,0.0053475935828877,"Vip","Inh"
82,13258.6513389101,10948.7554768506,0.0053475935828877,"Astro","Glia"
83,12531.7287064861,13155.6092919562,0.0053475935828877,"L6 IT","Ex"
85,9541.08946905536,17718.6981793893,0.0053475935828877,"Pvalb","Inh"
91,1074.86598189845,14159.0080174653,0.0053475935828877,"L5 PT","Ex"
92,5066.12611796605,15121.8928751095,0.0053475935828877,"L5 IT","Ex"
94,1022.83777622169,15423.5655920519,0.0053475935828877,"L2/3 IT","Ex"
96,10536.6257857463,7644.88873297191,0.0053475935828877,"Lamp5","Inh"
97,1097.51513677499,15570.9051440378,0.0053475935828877,"L4","Ex"
98,5450.21966125138,16023.4486535926,0.0053475935828877,"Macrophage","Glia"
99,15553.8594955371,2537.34644770665,0.0053475935828877,"Sst","Inh"
100,5621.60345323428,14949.625926061,0.0053475935828877,"Astro","Glia"
101,12343.9861523049,3085.71618480419,0.0053475935828877,"L4","Ex"
103,5317.6031894249,16021.9425319688,0.0053475935828877,"Vip","Inh"
104,8750.52756387552,2926.09326082281,0.0053475935828877,"Pvalb","Inh"
106,10298.1828043642,1906.98398400549,0.0053475935828877,"L5 IT","Ex"
108,15777.6197490661,9101.46362134704,0.0053475935828877,"Vip","Inh"
109,13592.075147199,2560.47426262051,0.0053475935828877,"Vip","Inh"
111,9745.33144022185,9236.38146651773,0.0053475935828877,"Sncg","Inh"
113,18620.3189902042,5985.67660215649,0.0053475935828877,"L6 IT","Ex"
114,12143.9433559195,13482.9944289371,0.0053475935828877,"Vip","Inh"
117,8155.89700333506,8269.39224486704,0.0053475935828877,"L5 IT","Ex"
120,9029.29183114836,16788.9711642305,0.0053475935828877,"L5 NP","Ex"
121,10211.5472410403,2929.29770270196,0.0053475935828877,"Sst","Inh"
122,8432.53396712575,15952.2158315717,0.0053475935828877,"Astro","Glia"
123,6416.26919186887,19103.4102301044,0.0053475935828877,"Sncg","Inh"
124,16601.5966541074,7721.69230219164,0.0053475935828877,"L5 NP","Ex"
126,4040.9187479035,14359.7130019408,0.0053475935828877,"L6 IT","Ex"
129,13357.4276181263,10772.0927725617,0.0053475935828877,"L2/3 IT","Ex"
131,15347.2084273932,7713.29400783296,0.0053475935828877,"L5 PT","Ex"
132,6453.01409717308,4141.86180892839,0.0053475935828877,"Endo","Endo"
133,9145.76003967226,15988.080581288,0.0053475935828877,"Lamp5","Inh"
134,9560.79428723592,10281.0932054312,0.0053475935828877,"L2/3 IT","Ex"
136,6575.40976386995,14887.6891806751,0.0053475935828877,"Vip","Inh"
138,13340.9478336551,3521.55115747821,0.0053475935828877,"Vip","Inh"
139,9208.96769977686,14100.2051719253,0.0053475935828877,"L4","Ex"
140,9245.88497857832,10829.4073815804,0.0053475935828877,"Vip","Inh"
141,8003.87944169268,4155.80948178015,0.0053475935828877,"L2/3 IT","Ex"
142,10552.533221754,6911.31056079937,0.0053475935828877,"Pvalb","Inh"
143,12176.3250239334,13960.7502671385,0.0053475935828877,"L5 PT","Ex"
144,11924.2230312276,2276.28780746193,0.0053475935828877,"L4","Ex"
147,12445.0985917602,10857.7722830079,0.0053475935828877,"Lamp5","Inh"
148,6408.84370239848,15197.0995925785,0.0053475935828877,"Lamp5","Inh"
150,11163.3782818621,13026.3725724679,0.0053475935828877,"Lamp5","Inh"
151,6456.77234617891,13859.3884285122,0.0053475935828877,"Lamp5","Inh"
155,14160.3522264564,7622.3539421326,0.0053475935828877,"Astro","Glia"
156,8407.60760048532,8673.4868862756,0.0053475935828877,"L6 IT","Ex"
157,17253.6169760932,4705.89894839378,0.0053475935828877,"Vip","Inh"
158,12563.1483516688,6116.05366223042,0.0053475935828877,"Sst","Inh"
159,12258.4948795314,7217.58743651642,0.0053475935828877,"L5 IT","Ex"
161,18050.9891784942,6525.69152878156,0.0053475935828877,"Oligo","Glia"
163,12179.4701832126,12783.667468949,0.0053475935828877,"L2/3 IT","Ex"
165,9464.68820456546,6398.30340606246,0.0053475935828877,"Lamp5","Inh"
166,3016.12745359832,14992.413271569,0.0053475935828877,"Sst","Inh"
167,5872.41163424711,13486.0783941337,0.0053475935828877,"Sncg","Inh"
168,5401.83441317797,16559.483731758,0.0053475935828877,"L6 PT","Ex"
169,8314.86859418679,17021.2222017598,0.0053475935828877,"L4","Ex"
170,12495.5413813592,10920.7306424612,0.0053475935828877,"Vip","Inh"
171,6309.74970939644,5119.61251772176,0.0053475935828877,"Astro","Glia"
172,17572.6866948476,4694.10510511665,0.0053475935828877,"Pvalb","Inh"
173,4943.35756542773,17097.9004523697,0.0053475935828877,"L6 IT","Ex"
174,10832.728930903,11471.6684264934,0.0053475935828877,"Sst","Inh"
176,12791.7316611916,4871.6722193413,0.0053475935828877,"L2/3 IT","Ex"
177,4051.41780537361,15970.0466589521,0.0053475935828877,"Lamp5","Inh"
178,2505.25424555647,12132.633227019,0.0053475935828877,"Vip","Inh"
179,18216.5160499421,6617.13584032406,0.0053475935828877,"L6 PT","Ex"
180,7115.36235322125,4794.11111950205,0.0053475935828877,"L4","Ex"
181,11750.6935129651,4920.9597201418,0.0053475935828877,"Lamp5","Inh"
182,8751.67805333403,8787.47905388548,0.0053475935828877,"L6b","Ex"
185,15871.4261740193,7021.30339507061,0.0053475935828877,"Astro","Glia"
189,15998.1848533828,8471.81349606214,0.0053475935828877,"Astro","Glia"
191,12679.1064829462,6915.30877341756,0.0053475935828877,"Sst","Inh"
192,11525.37295371,16624.3008249793,0.0053475935828877,"L6 IT","Ex"
194,5292.54370906443,14149.8970759753,0.0053475935828877,"L5 NP","Ex"
195,4794.97022608898,13080.6816139089,0.0053475935828877,"Sst","Inh"
197,10262.6264836534,17564.7487250539,0.0053475935828877,"Lamp5","Inh"
199,12382.9334912271,5328.47610756316,0.0053475935828877,"L2/3 IT","Ex"
201,11959.8201562415,16491.2803154761,0.0053475935828877,"Sst","Inh"
204,6695.76178008641,11671.2133146703,0.0053475935828877,"L6 PT","Ex"
207,10912.0586889119,5757.09352554149,0.0053475935828877,"Pvalb","Inh"
208,10582.1890848155,12529.3450051711,0.0053475935828877,"Astro","Glia"
210,14393.0891901026,15028.4124106139,0.0053475935828877,"L6 IT","Ex"
211,12825.4039460603,12912.374635557,0.0053475935828877,"Lamp5","Inh"
212,12334.9392595801,8477.89593447182,0.0053475935828877,"Vip","Inh"
213,5418.31708088132,15483.4299843101,0.0053475935828877,"VLMC","Glia"
218,11323.1181122056,13519.5400399429,0.0053475935828877,"L2/3 IT","Ex"
221,3338.85209113426,15361.3541143804,0.0053475935828877,"L2/3 IT","Ex"
222,11976.7096749528,10973.3139722605,0.0053475935828877,"Endo","Endo"
223,9170.40856076906,14509.9281359339,0.0053475935828877,"L5 IT","Ex"
225,8167.02905628391,10845.8197578999,0.0053475935828877,"Pvalb","Inh"
227,17024.213470542,8273.21220655363,0.0053475935828877,"Pvalb","Inh"
228,9582.11464018147,18450.8835363714,0.0053475935828877,"Vip","Inh"
230,14579.1902954746,14857.9071142223,0.0053475935828877,"Lamp5","Inh"
232,13494.7273342773,12787.6990861988,0.0053475935828877,"L6 IT","Ex"
233,7165.68143998064,16503.4978465541,0.0053475935828877,"L2/3 IT","Ex"
234,6030.36321332721,12218.4656112512,0.0053475935828877,"L6 IT","Ex"
236,4180.4773493314,15182.5269575043,0.0053475935828877,"Lamp5","Inh"
242,9747.02468443643,16360.2827690786,0.0053475935828877,"Sst","Inh"
243,16954.778377233,10760.2049163158,0.0053475935828877,"L2/3 IT","Ex"
244,6561.16652793093,14231.3366834139,0.0053475935828877,"Vip","Inh"
245,6540.38106464545,4550.71114189855,0.0053475935828877,"Pvalb","Inh"
246,11755.4911851786,11001.9783995383,0.0053475935828877,"Sst","Inh"
247,7338.15399645336,12157.8141026081,0.0053475935828877,"L5 IT","Ex"
248,14656.7337026192,14135.6043597128,0.0053475935828877,"L6 PT","Ex"
249,9013.96407988905,7966.75289160291,0.0053475935828877,"L2/3 IT","Ex"
251,10367.7374792384,10753.6808701378,0.0053475935828877,"L2/3 IT","Ex"
252,14234.0377845964,12503.7835269171,0.0053475935828877,"L4","Ex"
253,11702.0108819457,13910.8553668158,0.0053475935828877,"L6 IT","Ex"
254,12887.2769901069,8378.36630468487,0.0053475935828877,"Astro","Glia"
256,7816.64162402819,3155.57750707433,0.0053475935828877,"Sst","Inh"
257,10395.4746369511,200.474098902406,0.0053475935828877,"Lamp5","Inh"
258,6871.22401238631,16302.5733609968,0.0053475935828877,"Sst","Inh"
259,5826.18569294686,13064.6846048925,0.0053475935828877,"L6 IT","Ex"
260,12344.523314687,15037.4864966715,0.0053475935828877,"L6 IT","Ex"
261,2944.92243962045,14814.2865903408,0.0053475935828877,"Lamp5","Inh"
262,13484.3223123117,14528.6050644227,0.0053475935828877,"Vip","Inh"
264,14417.103573997,10346.2302412024,0.0053475935828877,"Sst","Inh"
267,14633.5449901165,13574.5455326769,0.0053475935828877,"Pvalb","Inh"
269,7266.74523065125,17376.7447433776,0.0053475935828877,"Lamp5","Inh"
270,13522.0530037649,5406.0767987364,0.0053475935828877,"Lamp5","Inh"
272,7123.63494589198,14535.0145764396,0.0053475935828877,"Lamp5","Inh"
273,10599.4197172443,7517.6298656591,0.0053475935828877,"Sncg","Inh"
274,14448.1845576882,2216.10623390284,0.0053475935828877,"Sst","Inh"
275,14654.610448881,3809.36348469718,0.0053475935828877,"Vip","Inh"
276,6342.32822195978,15791.1234410375,0.0053475935828877,"L6 IT","Ex"
278,2992.88552889477,13030.4032956017,0.0053475935828877,"Lamp5","Inh"
280,15622.7314400096,8677.05484638025,0.0053475935828877,"L6b","Ex"
281,14791.5266517282,13661.6489586217,0.0053475935828877,"Lamp5","Inh"
282,6529.69220923932,17975.4840404865,0.0053475935828877,"Sst","Inh"
283,5954.96622199492,4420.89377209401,0.0053475935828877,"Sst","Inh"
284,12319.2242476887,15346.5236058279,0.0053475935828877,"Vip","Inh"
286,8381.72660726278,18914.6921417975,0.0053475935828877,"Sst","Inh"
290,10025.1204352261,12487.8951722701,0.0053475935828877,"Vip","Inh"
291,15311.7844678232,2804.21540837598,0.0053475935828877,"L2/3 IT","Ex"
292,8109.23608992243,12151.0930573322,0.0053475935828877,"Macrophage","Glia"
293,8806.89587550608,19202.0126783291,0.0170842690462977,"L2/3 IT","Ex"
294,13044.1079154533,16381.9294226681,0.0198109007597973,"L2/3 IT","Ex"
295,12305.4757589406,12253.9517599967,0.0148784993716207,"L4","Ex"
296,8931.64715149326,12254.5393732712,0.0230760403543382,"L5 IT","Ex"
298,12373.6630066281,16668.4061923785,0.0262748220668721,"L2/3 IT","Ex"
300,7525.99706042977,19490.0205668468,0.0206644989458242,"L4","Ex"
301,9052.00719898455,10737.4779660107,0.015016565429636,"L6 IT","Ex"
302,12168.2559445494,4183.85036572461,0.0275797344074305,"L6 PT","Ex"
304,13776.1537353637,12440.8760611705,0.0259439534670097,"Lamp5","Inh"
306,17421.6412950176,9111.34690140632,0.0125561209595091,"L2/3 IT","Ex"
307,7072.47030918651,18687.1020268929,0.0142218583691721,"L4","Ex"
308,3941.03838180749,16614.8710707034,0.0116544442994447,"L6 PT","Ex"
309,7950.66394652743,12300.8093319557,0.0188931216548918,"Oligo","Glia"
310,7827.75171505337,10626.1499319526,0.0231468345526826,"L2/3 IT","Ex"
311,6284.31412301271,18006.305007918,0.0114124799282038,"L5 PT","Ex"
312,12309.8104223956,10709.8883939415,0.0110860679373677,"L5 IT","Ex"
313,14836.9784553292,12187.6260799573,0.0356083341575772,"Sst","Inh"
314,10690.3113283891,8155.16798033726,0.020258919213472,"Sst","Inh"
315,6655.3148439401,12731.6297126471,0.0174145088115862,"L6 PT","Ex"
316,15662.24611766,10397.4925972435,0.0127508043270137,"L2/3 IT","Ex"
317,8683.23077828204,12338.8932199435,0.0266477766205144,"L5 PT","Ex"
318,14507.3943996406,2301.56281801988,0.0192660337241104,"L2/3 IT","Ex"
319,16703.1877752065,7079.40141736184,0.013293346797325,"L4","Ex"
321,14658.5829137522,8060.30863815083,0.0179812308506946,"L6 PT","Ex"
322,9972.90577414954,6636.14044337168,0.0244214125188179,"L6 PT","Ex"
323,5966.43573899842,6378.42507482356,0.0406213140437325,"L6b","Ex"
325,7821.78273554989,10320.529006787,0.0150729148232832,"L6 IT","Ex"
326,6635.11066382144,13521.1012560565,0.0134378932513008,"L6 IT","Ex"
327,7366.61431252719,14772.4086017091,0.0168495588471488,"L5 PT","Ex"
329,8110.04545607513,10402.816434945,0.0266316759933946,"L6 PT","Ex"
330,16520.9726376896,5358.83528330164,0.0168722210057895,"L4","Ex"
332,9219.8289660709,8659.53601914849,0.0303774229153209,"L6 PT","Ex"
334,11695.8996606813,16736.8780426382,0.0140904415090537,"L2/3 IT","Ex"
336,4582.25493232498,13304.5916820806,0.0202066610099613,"L6b","Ex"
337,14651.5103124603,12735.157434523,0.018510696827387,"L2/3 IT","Ex"
339,12745.392041514,3022.11930254656,0.0201190871129702,"L6 PT","Ex"
