"","L4","Vip","Lamp5","L5 NP","Sst","L5 IT","Oligo","L6 PT","L6 IT","Sncg","Pvalb","L2/3 IT","Astro","L5 PT","L6b","Endo","Peri","Meis2","Macrophage","CR","VLMC","SMC"
"394",-5.2591241668,-7,-7,-7,-7,-2.22005160627753,-7,-7,-7,-7,-7,-3.7332733020558,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
"1556",1.956350757229,-7,-7,-7,-7,-7,-7,-7,-5.99270964190846,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
"4346",-7,-1.84291396751447,-7,-7,-7,-7,-3.03200412482255,-7,-5.0022998567,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
"3507",-7,-7,-7,-7,-7,-7,-7,-7,3.68201177896059,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
"3067",-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,3.79797544403654,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
"2602",-7,-5.94048366000179,-5.60489770606313,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-0.450450348983973,-7,-7,-7,-7,-7,-7,-5.524163121,-7
"1960",-7,-7,-7,-7,-7,-7,-7,3.19492439446054,-5.9736123224003,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
"3466",-7,-7,-7,-7,-7,0.184769132521376,-7,-7,-5.0000000032,-7,-7,-7,-7,-5.24,-7,-7,-7,-7,-7,-7,-7,-7
"3360",-3.24619402586307,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-0.741851223047268,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
"5675",-7,-7,-7,-7,-7,-7,-7,-2.87149655988727,-1.16440113206863,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
"5375",-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,3.95964054019638,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
"5260",-7,-7,-0.652232507492704,-7,-7,-7,-7,-7,-7,-7,-5.47982430851494,-7,-7,-5.96681093978727,-7,-7,-7,-5.048108915,-7,-7,-7,-7
"3154",-7,-7,-7,-7,-7,-7,-7,-1.87338486478725,-7,-7,-7,-3.2981348072789,-5.9463271309116,-5.9736123224003,-7,-7,-7,-7,-7,-7,-7,-7
"5162",-7,-7,-7,-7,-7,-7,-7,-7,4.31105156941694,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
"2604",-7,-7,-7,-7,-7,-7,-7,-7,-5.97846423532731,-7,-7,-0.187606411143061,-5.45797957195453,-5.96681093978727,-7,-7,-7,-7,-7,-7,-7,-7
"5827",-0.564807403778434,-7,-7,-7,-7,-7,-7,-7,-7,-5.99270964190846,-7,-3.35708574152831,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
"3263",-5.99270964190846,-5.92534227338031,-7,-7,-7,-7,2.5324261226273,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
"2661",-7,-7,-0.662145202026719,-7,-7,-7,-7,-7,-7,-4.59453529574825,-5.400307358961,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
"532",-7,-7,-7,-7,-5.12,-7,-7,-7,-7,-7,2.51870047809621,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
"3085",-7,-7,-7,-7,-7,-7,-7,-5.3557800546,0.638026027377812,-7,-7,-5.02,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
"2864",-7,-5.99270964190846,-7,-7,-7,-7,-7,-7,-5.94844269933137,-7,-7,1.77051679647915,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
"1735",-2.99442721504944,-5.327965363,-7,-7,-5.99270964190846,-7,-7,-7,-7,-7,-7,-3.36080046031215,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
"4971",-7,-5.90436332425494,-7,-7,-7,-7,-7,-7,-7,-7,-7,3.60282445541118,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
"4692",-7,-7,-7,-7,2.85425006013856,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-5.777143419,-7,-7,-7,-7
"1389",-7,-7,-7,-7,-7,-7,-7,1.87697664298032,-5.0000291555,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
"703",-7,-5.69,-5.99270964190846,-7,-4.716097825342,-5.7258379597229,-7,-7,-7,-7,-7,-7,-5.756589312,-7,-5.0001824555,-7,-7,-7,-7,-7,-7,-7
"1513",-7,-7,-7,-7,-7,-7,-7,-7,4.40006553347542,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
"5587",-7,-7,-7,-7,-7,-7,-7,-1.37204476352429,-3.96236750495487,-7,-7,-7,-7,-5.3,-7,-7,-7,-7,-7,-7,-7,-7
"3021",-7,-7,-5.95308210031669,-7,-3.17901649006479,-7,-7,-7,-7,-7,-2.42675727340225,-7,-7,-7,-7,-7,-7,-5.347794105,-7,-7,-7,-7
"4378",-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,4.21953630371385,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
"4531",-7,-7,-7,-7,-5.93449952689661,-7,-7,-7,-7,-7,-7,3.76768372777461,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
"4517",-7,-7,-7,-7,-7,-7,-7,-7,-5.0017766233,-7,-7,-7,-5.96969697,0.0347750010011418,-7,-7,-7,-7,-7,-7,-7,-7
"4969",-7,-7,-7,-7,-7,-7,-7,2.58832077019963,-7,-7,-7,-7,-7,-5,-7,-7,-7,-7,-7,-7,-7,-7
"2471",-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,4.02643463074615,-7,-7,-7,-7,-7,-7,-7,-7
"2403",-7,-7,-7,-7,-7,-4.36814989240612,-7,-3.23076060222975,-7,-7,-7,-7,-7,-3.97993479144965,-5,-7,-7,-7,-7,-7,-7,-7
