"sample_name","x","y","rmax","subclass","broad_class"
1,9428.77577715789,8798.33373598945,0.168398168703731,"L2/3 IT","Ex"
3,5518.32668590217,14650.3331924721,0.356182178817202,"Pvalb","Inh"
5,5998.50028874056,17729.9994726034,0.269403475247963,"L5 PT","Ex"
6,5951.61953211529,4534.52919166218,0.167480428504806,"L5 PT","Ex"
9,9015.47586226568,16983.6377826868,0.17774034744486,"L4","Ex"
11,10534.7475787829,19435.6964437411,0.121667709993849,"L2/3 IT","Ex"
12,17234.8509061372,7993.1946038182,0.167338059993641,"Pvalb","Inh"
13,9768.94410967243,18075.5427988378,0.160241608029878,"Sst","Inh"
14,5111.27185429956,15879.4674750338,0.375589451815741,"Sst","Inh"
16,13981.8238550976,5228.53197556885,0.181005815409955,"L6 IT","Ex"
18,16908.4207350762,11312.0382935141,0.191925716247503,"L2/3 IT","Ex"
19,13323.8556454485,3079.5102232798,0.129154262594759,"L4","Ex"
20,15281.9961699582,12904.7941325447,0.160477066806247,"L2/3 IT","Ex"
21,7879.46350695188,19046.937590227,0.169984770490753,"Vip","Inh"
22,14845.0484561331,12740.1572363712,0.193553539564764,"L2/3 IT","Ex"
23,29.168226395466,14828.2457290988,0.171872739193384,"L5 PT","Ex"
25,12977.9056204252,9680.21310038565,0.153016210039135,"L5 PT","Ex"
27,14793.3164457293,8898.35792182342,0.255934443622693,"L4","Ex"
28,14743.5754769299,12166.5995757872,0.165846970526033,"L2/3 IT","Ex"
30,10658.0048671908,4017.34719064662,0.236015222321311,"L6b","Ex"
33,10860.3702746132,18089.5587121165,0.176369654817038,"L2/3 IT","Ex"
34,18455.0999562312,6059.25680763502,0.197829369783225,"L2/3 IT","Ex"
35,14962.2524027158,13837.3131052396,0.159093712241831,"L2/3 IT","Ex"
36,10495.3550892862,17691.6896749776,0.176174129471913,"L2/3 IT","Ex"
37,10508.4133514697,8456.66683858644,0.196641280739,"L6 PT","Ex"
39,453.239012066744,14598.6212607266,0.167778253905143,"L5 PT","Ex"
40,15406.567401013,10077.8316908011,0.128893679499432,"L2/3 IT","Ex"
41,7524.90971937708,15606.5020213161,0.21939559752224,"Sst","Inh"
42,17526.0656325379,4361.28326339475,0.181678251496173,"L2/3 IT","Ex"
43,10112.879469346,18608.3469092365,0.185525716371393,"L2/3 IT","Ex"
45,11790.8170780217,8935.74365307946,0.241903500456282,"L5 PT","Ex"
47,16950.2810460039,9087.18814819821,0.153897805850964,"L2/3 IT","Ex"
51,12721.2175195565,7150.67953947771,0.196833810215434,"L5 PT","Ex"
52,13927.9529460176,6627.91630262815,0.20523441679721,"L5 IT","Ex"
53,10881.3913360496,10206.7908037617,0.166702491560453,"Oligo","Glia"
54,13828.8233905339,4675.73774074776,0.214742804420507,"Oligo","Glia"
55,4150.92916194882,16730.3675090414,0.295787543263418,"L6 IT","Ex"
59,10184.1622491145,9724.5893050008,0.171909910423963,"L5 PT","Ex"
61,14713.8225593227,14330.2270659423,0.171065729182238,"Vip","Inh"
62,7546.90008578848,10190.7502451449,0.252079986636892,"Vip","Inh"
64,8315.28327776707,20583.0522786709,0.258423598456435,"L2/3 IT","Ex"
69,10006.860384247,8851.15747915208,0.169124833767084,"L6 IT","Ex"
70,9424.84843694979,11172.1382628265,0.188525762863406,"L6 IT","Ex"
71,9396.56324230055,10889.7874300345,0.348603237908019,"L5 IT","Ex"
72,7486.5932524896,4891.23857398895,0.167697488196634,"L2/3 IT","Ex"
73,9869.6561520497,16403.6094970458,0.23338707606836,"L2/3 IT","Ex"
74,14879.4685378278,3478.40008135161,0.0890348811842241,"Pvalb","Inh"
76,13159.8748692339,2292.43784404469,0.179896268959516,"L6 PT","Ex"
77,14192.4069870936,5318.48227438614,0.352473045975261,"L5 IT","Ex"
78,9101.91721797904,19075.0951308865,0.182165201124494,"L4","Ex"
79,5721.0113419799,13106.7029666984,0.155253682297733,"L6 PT","Ex"
