"","L4","Vip","Lamp5","L5 NP","Sst","L5 IT","Oligo","L6 PT","L6 IT","Sncg","Pvalb","L2/3 IT","Astro","L5 PT","L6b","Endo","Peri","Meis2","Macrophage","CR","VLMC","SMC"
"59",0,0,0,0,0.714231899999266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60",0,0,0,0,0,0,0,0.222587091051077,0,0,0,0,0,0,0.342185637799794,0,0,0,0,0,0.170216074134279,0
"61",0,0,0,0,0,0,0,0,0,0,0.73786713670535,0,0,0,0,0,0,0,0,0,0,0
"62",0,0,0,0,0.810922293751814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"63",0,0,0,0,0,0,0,0,0.968481764804947,0,0,0,0,0,0,0,0,0,0,0,0,0
"64",0,0,0,0,0,0,0,0,0,0,0,0.77265320717614,0,0,0,0,0,0,0,0,0,0
"66",0,0,0,0,0,0,0,0,0,0,0.729645228452628,0,0,0,0,0,0,0,0,0,0,0
"67",0.1706331403125,0,0,0,0,0.403919449178487,0,0,0,0,0,0.154686464834451,0,0,0,0,0,0,0,0,0,0
"68",0.610196786532915,0,0,0,0,0,0,0,0,0,0.17988524471909,0,0,0,0,0,0,0,0,0,0,0
"69",0,0.199537844661061,0,0,0.532284067890928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"70",0,0,0,0,0,0,0,0,0,0,0,0,0,0.837714131567895,0,0,0,0,0,0,0,0
"71",0.747182340550156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"72",0,0,0,0,0.159025762889329,0,0,0,0.435279343124771,0,0,0,0,0,0.188335640227446,0,0,0,0,0,0,0
"73",0,0,0,0,0,0,0,0,0,0,0,0.77055824161518,0,0,0,0,0,0,0,0,0,0
"74",0,0,0,0,0,0,0,0,0,0,0,0.856933859973071,0,0,0,0,0,0,0,0,0,0
"75",0,0,0,0,0,0.218082982893266,0,0,0.341136049832993,0,0,0,0,0,0.166871015775,0,0,0,0,0,0,0
"76",0,0,0,0,0.195551807112151,0,0,0,0,0,0,0,0,0.621644149815296,0,0,0,0,0,0,0,0
"77",0,0,0,0,0,0,0,0,0,0,0,0,0,0.840352739860833,0,0,0,0,0,0,0,0
"78",0,0,0,0,0,0,0,0.779236484497073,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"80",0,0,0,0,0,0,0,0,0,0,0.755678896105173,0,0,0,0,0,0,0,0,0,0,0
"81",0.188335640227446,0,0,0,0,0.402535365725478,0.187504142410413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"82",0.795172432855612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"83",0,0,0,0,0,0,0,0.625345941030355,0,0,0,0,0,0,0.14147415596448,0,0,0,0,0,0,0
"84",0,0,0.616261718401583,0,0,0,0,0,0,0,0,0.223222354815332,0,0,0,0,0,0,0,0,0,0
"85",0,0,0,0,0,0,0,0,0,0,0,0.534983736032461,0,0,0,0,0,0,0.161190770539397,0,0,0
