"","L4","Vip","Lamp5","L5 NP","Sst","L5 IT","Oligo","L6 PT","L6 IT","Sncg","Pvalb","L2/3 IT","Astro","L5 PT","L6b","Endo","Peri","Meis2","Macrophage","CR","VLMC","SMC"
"181",0,0,0,0,0,0,0,0.675380389857642,0,0,0,0,0,0,0,0,0,0,0,0.116763057403794,0,0
"182",0,0,0,0,0.362963901995966,0,0,0.319407616104372,0,0,0,0,0,0,0,0,0,0.111424523628576,0,0,0,0
"185",0.585371959026206,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0
"189",0,0,0,0,0,0,0,0,0,0,0,0.715713536495317,0,0,0.101408442726795,0,0,0,0,0,0,0
"191",0,0.320035308935139,0,0,0,0,0,0,0,0,0,0,0.26581931763955,0,0,0,0,0,0.162345253873144,0,0,0
"192",0,0,0,0,0,0,0,0,0,0,0.68164750806128,0,0.101112036588419,0,0,0,0,0,0,0,0,0
"199",0,0,0,0,0,0,0,0,0.762026837659175,0,0,0,0,0,0,0,0,0,0,0,0,0
"201",0,0,0,0,0,0.110295792946537,0.103523150672353,0,0,0,0,0.553974483513271,0,0,0,0,0,0,0,0,0,0
"204",0,0,0,0,0,0,0,0.670523043251852,0,0,0,0,0,0.11288450623042,0,0,0,0,0,0,0,0
"207",0,0,0,0.100906557565182,0,0.148463401082883,0,0.367311280420562,0,0,0,0,0,0,0,0,0,0,0.13093146284667,0,0,0
"208",0,0,0,0.314879586410604,0,0,0,0.160303181725294,0,0,0,0,0,0.313536699423383,0,0,0,0,0,0,0,0
"210",0,0,0,0,0,0,0,0.107863817164215,0,0,0,0.625313690933561,0,0,0,0,0,0,0,0,0,0
"211",0.410672263907107,0,0,0,0,0,0,0,0,0,0,0.355560563241104,0,0,0,0,0,0,0,0,0,0
"212",0,0,0,0,0,0,0,0,0,0,0,0,0,0.7329683408628,0,0,0,0,0,0,0,0
"218",0.134,0,0,0,0.100168240588362,0,0,0,0.143273006473621,0,0,0.177729716527899,0,0,0,0,0,0,0.101482202836807,0,0,0
"222",0,0,0,0,0,0.101424670046213,0,0,0,0,0.518487698631339,0,0,0,0,0,0,0,0.162345253873144,0,0,0
"223",0,0,0,0,0,0.463440422291453,0,0,0,0,0,0,0,0.325976902899609,0,0,0,0,0,0,0,0
"225",0,0,0,0,0,0,0,0,0,0,0.768309221055595,0,0,0,0,0,0,0,0,0,0,0
"227",0,0,0,0,0,0,0,0,0,0,0,0.689012738373014,0.10132268477839,0,0,0,0,0,0,0,0,0
"230",0,0,0,0,0,0,0,0,0,0,0,0.726029096559443,0,0,0,0,0,0,0,0,0,0
"232",0.129117066174612,0,0,0,0,0,0,0,0,0,0,0.502472206726787,0,0,0,0,0.114625909752381,0,0,0,0,0
"234",0,0,0,0,0,0,0,0.828254868469852,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"242",0.473704856097374,0,0,0,0,0,0,0,0,0,0,0.3116829583393,0,0,0,0,0,0,0,0,0,0
"243",0,0,0,0,0,0,0,0,0,0,0,0.808457698472593,0,0,0,0,0,0,0,0,0,0
"246",0,0,0,0,0,0,0,0,0,0,0,0,0,0.736365129253961,0,0,0,0,0,0,0,0
"247",0,0,0,0,0,0,0,0.808360539486816,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"248",0,0.652490632266315,0,0,0.134015179181857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"249",0,0,0,0,0,0,0,0.650691770696173,0,0,0,0.175838023613793,0,0,0,0,0,0,0,0,0,0
"251",0,0,0,0,0.533080775882036,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0.134006189316012,0,0
"252",0,0,0,0,0,0,0,0,0,0,0,0.632901325240007,0,0,0,0,0,0,0,0.130904224245533,0,0
"253",0,0.10010534545401,0,0,0,0,0.100382418201582,0.339200039397261,0.17219424702159,0,0,0,0,0,0,0,0,0,0,0,0,0
"254",0,0,0,0,0,0,0,0,0,0,0.168648159674111,0,0,0.573955546600191,0,0,0,0,0,0,0,0
"260",0,0,0,0,0,0,0,0,0,0.128204176253364,0,0.57661031827654,0,0,0,0,0.11270504663142,0,0,0,0,0
"262",0.101878641787313,0,0,0,0,0,0,0,0,0,0,0.651529807016944,0,0,0,0,0,0,0,0,0,0
"264",0.829530871152577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"267",0,0.132065829670278,0,0,0.52409066190022,0,0,0,0,0,0,0,0,0,0,0,0,0.100830626346156,0,0,0,0
"270",0,0,0,0,0,0.458251017889991,0,0,0,0,0.128017076654645,0,0,0.162976902899609,0,0,0,0,0,0,0,0
"273",0,0,0,0,0,0,0,0,0.682770853723168,0,0,0,0,0,0,0,0,0,0,0,0,0.103303788179221
"280",0,0.198050383761228,0,0,0,0,0,0,0,0,0.204832874860048,0.33081467406831,0,0,0,0,0,0,0,0,0,0
"281",0,0,0,0,0.118661662717321,0,0,0,0,0,0,0.343834966782658,0,0,0,0.206057712790224,0,0,0,0,0,0
"284",0,0,0,0,0,0,0,0,0,0,0,0.743137077717873,0,0,0,0,0,0.101401742797739,0,0,0,0
"290",0,0,0,0,0,0,0,0,0,0,0,0,0,0.797252215808773,0,0,0,0,0,0,0,0
"292",0,0,0,0,0,0,0,0.798801591030891,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"294",0,0,0,0,0,0,0,0,0,0,0,0.727403146052793,0,0,0,0,0,0,0,0,0,0
"295",0.593301826806145,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0
"296",0,0,0,0,0,0.498742225364255,0,0,0,0,0.16252303568059,0.163220831130781,0,0,0,0,0,0,0,0,0,0
"298",0,0,0,0,0,0,0,0,0,0,0,0.814204755489303,0,0,0,0,0,0,0,0,0,0
