"cell","x","y","query.cluster","match.cell2cluster","rmax.cell2cluster","subclass","broad_class"
"69238",1134.86981,180.421014,"query.iter3_cl4","cl41_n102_Selplg_Macrophage",0.5,"Macrophage","Glia"
"69239",1148.30755,130.633463,"query.iter3_cl9","cl184_n28_Pf4_Macrophage",0.5,"Macrophage","Glia"
"69240",1155.05243,101.633043,"query.iter3_cl2","cl165_n33_Kdelr3_VLMC",0.5,"VLMC","Glia"
"69241",1168.8712,32.958515,"query.iter3_cl3","cl165_n33_Kdelr3_VLMC",0.5,"VLMC","Glia"
"69242",1171.17709,28.536397,"query.iter3_cl7","cl92_n59_Chil1_Astro",0.5,"Astro","Glia"
"69310",993.7726,840.8087,"query.iter3_cl5","cl1011_n13_Enpp6_Oligo",0.5,"Oligo","Glia"
"69312",1002.32637,779.558801,"query.iter3_cl6","cl219_n22_Pdzph1_Astro",0.5,"Astro","Glia"
"69313",1012.23186,740.338782,"query.iter3_cl0","cl230_i21_Brca2_Pvalb",0.0183795469744811,"Pvalb","Inh"
"69314",1025.22686,674.513598,"query.iter3_cl5","cl13_n153_Ctla2a_Endo",0.5,"Endo","Endo"
"69316",1043.21496,611.278181,"query.iter3_cl0","cl119_i46_Ccdc38_Pvalb",0.224588600805145,"Pvalb","Inh"
"69318",1064.01778,530.224253,"query.iter3_cl0","cl230_i21_Brca2_Pvalb",0.0819178376258774,"Pvalb","Inh"
"69319",1061.24377,521.812406,"query.iter2_cl4","cl188_i26_Cgn_Pvalb",0.5,"Pvalb","Inh"
"69320",1080.35784,455.280357,"query.iter2_cl7","cl213_i22_Dnhd1_Pvalb",0.5,"Pvalb","Inh"
"69321",1104.21316,342.552156,"query.iter2_cl7","cl135_i42_Ostn_Pvalb",0.5,"Pvalb","Inh"
"69322",1135.82643,227.081644,"query.iter3_cl7","cl184_n28_Pf4_Macrophage",0.5,"Macrophage","Glia"
"69323",1136.27167,216.860504,"query.iter3_cl5","cl41_n102_Selplg_Macrophage",0.5,"Macrophage","Glia"
"69324",1169.60084,93.70993,"query.iter3_cl5","cl1011_n13_Enpp6_Oligo",0.5,"Oligo","Glia"
"69325",1181.07457,29.35603,"query.iter3_cl6","cl41_n102_Selplg_Macrophage",0.5,"Macrophage","Glia"
"69389",930.93327,1144.347691,"query.iter2_cl1","cl1011_n13_Enpp6_Oligo",0.5,"Oligo","Glia"
"69391",981.79468,887.43967,"query.iter3_cl3","cl165_n33_Kdelr3_VLMC",0.238873904950228,"VLMC","Glia"
"69392",999.20386,838.842486,"query.iter3_cl2","cl1011_n13_Enpp6_Oligo",0.0736495693113381,"Oligo","Glia"
"69393",1005.94676,793.101248,"query.iter3_cl0","cl1011_n13_Enpp6_Oligo",0.0778243455840267,"Oligo","Glia"
"69394",1050.6247,605.260896,"query.iter3_cl6","cl184_n28_Pf4_Macrophage",0.5,"Macrophage","Glia"
"69395",1077.06736,489.870364,"query.iter3_cl3","cl13_n153_Ctla2a_Endo",0.243169570646382,"Endo","Endo"
"69396",1080.77014,483.988113,"query.iter3_cl2","cl1011_n13_Enpp6_Oligo",0.5,"Oligo","Glia"
"69397",1075.73698,478.044135,"query.iter2_cl1","cl41_n102_Selplg_Macrophage",0.5,"Macrophage","Glia"
"69398",1108.58348,394.146508,"query.iter3_cl5","cl32_n118_Opalin_Oligo",0.5,"Oligo","Glia"
"69399",1106.35451,369.676173,"query.iter3_cl4","cl41_n102_Selplg_Macrophage",0.5,"Macrophage","Glia"
"69400",1140.23927,221.337287,"query.iter3_cl2","cl32_n118_Opalin_Oligo",0.224588600805145,"Oligo","Glia"
"69401",1151.44322,174.338383,"query.iter3_cl8","cl1011_n13_Enpp6_Oligo",0.792276351763248,"Oligo","Glia"
"69474",965.64607,995.938029,"query.iter3_cl1","cl83_n62_Ccl19_VLMC",0.5,"VLMC","Glia"
"69475",979.76388,953.962414,"query.iter3_cl5","cl13_n153_Ctla2a_Endo",0.5,"Endo","Endo"
"69476",980.2605,942.922821,"query.iter3_cl2","cl1011_n13_Enpp6_Oligo",0.238873904950228,"Oligo","Glia"
"69477",986.28082,918.741531,"query.iter3_cl3","cl1011_n13_Enpp6_Oligo",0.234358291223104,"Oligo","Glia"
"69478",1009.19586,801.95379,"query.iter3_cl0","cl1011_n13_Enpp6_Oligo",0.0819178376258774,"Oligo","Glia"
"69479",1017.46563,762.583441,"query.iter3_cl0","cl230_i21_Brca2_Pvalb",0.0819178376258774,"Pvalb","Inh"
"69480",1082.65843,491.878858,"query.iter3_cl1","cl83_n62_Ccl19_VLMC",0.5,"VLMC","Glia"
"69481",1106.83686,399.998467,"query.iter3_cl4","cl1011_n13_Enpp6_Oligo",0.5,"Oligo","Glia"
"69483",1118.02864,330.807519,"query.iter2_cl6","cl1004_i65_NA_Sst",0.5,"Sst","Inh"
"69484",1189.20079,23.530225,"query.iter3_cl6","cl130_n43_Nat8_Astro",0.5,"Astro","Glia"
"69485",1196.50566,26.112379,"query.iter3_cl2","cl13_n153_Ctla2a_Endo",0.234358291223104,"Endo","Endo"
"69547",975.27334,991.337204,"query.iter3_cl1","cl1011_n13_Enpp6_Oligo",0.5,"Oligo","Glia"
"69548",974.56667,983.241493,"query.iter3_cl4","cl41_n102_Selplg_Macrophage",0.238873904950228,"Macrophage","Glia"
"69549",983.92438,924.679043,"query.iter3_cl0","cl1011_n13_Enpp6_Oligo",0.0819178376258774,"Oligo","Glia"
"69550",1021.59242,797.018698,"query.iter3_cl6","cl165_n33_Kdelr3_VLMC",0.5,"VLMC","Glia"
"69552",1036.69453,713.896419,"query.iter3_cl0","cl13_n153_Ctla2a_Endo",0.0819178376258774,"Endo","Endo"
