"cell","x","y","query.cluster","match.cell2cluster","rmax.cell2cluster","subclass","broad_class"
"7217",613.531976,407.5784793,"query.iter3_cl1","cl77_n66_Rlbp1_Oligo",0.0239263508447101,"Oligo","Glia"
"7220",664.795708,436.0119749,"query.iter3_cl1","cl228_e21_Rev1_L6_CT",0.00874336270841992,"L6 PT","Ex"
"7243",103.584559,106.5238887,"query.iter3_cl1","cl219_n22_Pdzph1_Astro",0.00224400536492692,"Astro","Glia"
"7244",142.212382,128.4566299,"query.iter3_cl3","cl156_e35_Gpr139_L6_CT",0.314884514498043,"L6 PT","Ex"
"7245",165.074395,142.8018542,"query.iter3_cl1","cl77_n66_Rlbp1_Oligo",0.073336182920191,"Oligo","Glia"
"7246",189.634547,160.7388244,"query.iter3_cl3","cl27_e121_Gadd45a_L6_CT",0.171763814491826,"L6 PT","Ex"
"7247",199.652941,166.9919861,"query.iter3_cl3","cl1008_e40_NA_L5_IT",0.172598563404668,"L5 IT","Ex"
"7248",209.505553,168.885764,"query.iter3_cl5","cl1008_e40_NA_L5_IT",0.0755206855244186,"L5 IT","Ex"
"7249",246.84278,192.8561145,"query.iter3_cl3","cl4_e253_Lgmn_L5_IT",0.316705027244092,"L5 IT","Ex"
"7250",274.426722,207.1188989,"query.iter3_cl5","cl101_e53_Zmiz1os1_L6_IT",0.073336182920191,"L6 IT","Ex"
"7251",308.540618,226.7397168,"query.iter3_cl5","cl214_e22_Rttn_L6_CT",0.0299576785099778,"L6 PT","Ex"
"7252",333.305493,235.4858343,"query.iter3_cl4","cl247_e20_Pah_L5_IT",0.073336182920191,"L5 IT","Ex"
"7253",335.791715,242.7903764,"query.iter3_cl3","cl106_e50_Dlc1_L6_CT",0.313008802994028,"L6 PT","Ex"
"7254",343.94038,246.4373443,"query.iter3_cl3","cl17_e147_Gng12_L6_CT",0.170075895909286,"L6 PT","Ex"
"7255",378.914835,263.668445,"query.iter3_cl0","cl228_e21_Rev1_L6_CT",0.077683497116913,"L6 PT","Ex"
"7256",404.388603,275.0190601,"query.iter3_cl4","cl46_e95_Npc1l1_L5_IT",0.165745334438354,"L5 IT","Ex"
