"cell","x","y","query.cluster","match.cell2cluster","rmax.cell2cluster","subclass","broad_class"
"228",659.276599423704,11087.2715091173,"query.iter3_cl3","cl102_e53_Tmem74b_L23_IT",0.5,"L2/3 IT","Ex"
"231",15552.0870325126,7265.20177987523,"query.iter2_cl1","cl185_i27_Slc4a7_Pvalb",0.930604130788195,"Pvalb","Inh"
"232",3441.91268608706,7928.71256339819,"query.iter3_cl4","cl190_e26_Cdh15_L5_PT",0.5,"L5 PT","Ex"
"233",12122.8512148913,6726.02974708176,"query.iter3_cl6","cl156_e35_Gpr139_L6_CT",0.837563951116237,"L6 PT","Ex"
"234",1207.03255353361,6840.87734320929,"query.iter2_cl2","cl58_i81_Tmem255a_Sst",0.765641708776896,"Sst","Inh"
"235",14190.6207587261,17245.1979236213,"query.iter3_cl1","cl111_e48_Zar1l_L23_IT",0.939332374820759,"L2/3 IT","Ex"
"237",13650.6030061458,13601.4533867998,"query.iter3_cl0","cl94_e57_Cyp39a1_L4",0.5,"L4","Ex"
"242",12973.2903384001,6939.24671347735,"query.iter3_cl6","cl156_e35_Gpr139_L6_CT",0.926350430688662,"L6 PT","Ex"
"243",15791.1723281756,7897.30181732304,"query.iter2_cl2","cl1005_i24_Pcdhb20_Sst",0.761126095049772,"Sst","Inh"
"244",9302.81869119121,14662.8333110217,"query.iter3_cl3","cl181_e28_Nfkbid_L23_IT",0.5,"L2/3 IT","Ex"
"254",9722.80384562839,12687.3905558317,"query.iter3_cl5","cl94_e57_Cyp39a1_L4",0.926350430688662,"L4","Ex"
"257",15638.8814872215,15102.7339661916,"query.iter3_cl1","cl6_e204_Exosc4_L23_IT",0.798608152876762,"L2/3 IT","Ex"
"258",13354.2392996666,16957.9502598837,"query.iter3_cl1","cl181_e28_Nfkbid_L23_IT",0.7807109869595,"L2/3 IT","Ex"
"260",16195.4878379162,9970.86596451628,"query.iter3_cl4","cl69_e70_Depdc7_L5_PT",0.5,"L5 PT","Ex"
"261",4855.06954343449,13668.1562550392,"query.iter3_cl0","cl1_e421_Cst3_L4",0.983405469893637,"L4","Ex"
"263",14773.0847052242,17288.1742463738,"query.iter3_cl3","cl181_e28_Nfkbid_L23_IT",0.5,"L2/3 IT","Ex"
"264",14375.6574216793,19217.0253686511,"query.iter2_cl3","cl151_i35_Gpr63_Lamp5",0.922175654415973,"Lamp5","Inh"
"265",16786.5594593639,17559.3652154308,"query.iter3_cl3","cl181_e28_Nfkbid_L23_IT",0.5,"L2/3 IT","Ex"
"276",13036.5437271879,14744.9958038618,"query.iter3_cl0","cl94_e57_Cyp39a1_L4",0.992717841929891,"L4","Ex"
"278",10718.5872072837,14033.2306257217,"query.iter3_cl0","cl174_e30_Zfp433_L4",0.7807109869595,"L4","Ex"
"281",8411.74522545642,17007.9904344396,"query.iter3_cl3","cl111_e48_Zar1l_L23_IT",0.5,"L2/3 IT","Ex"
"283",7258.2237038027,14408.9158671903,"query.iter2_cl2","cl1005_i24_Pcdhb20_Sst",0.926350430688662,"Sst","Inh"
"285",9734.55043401189,14357.7701716597,"query.iter3_cl0","cl108_e49_NA_L4",0.770396341622423,"L4","Ex"
"287",12922.4383810124,9470.13760920921,"query.iter2_cl2","cl1005_i24_Pcdhb20_Sst",0.988407198252632,"Sst","Inh"
"288",8802.37843352829,5415.51943466616,"query.iter3_cl6","cl228_e21_Rev1_L6_CT",0.837563951116237,"L6 PT","Ex"
"291",10666.9274649485,13728.4708968256,"query.iter3_cl0","cl145_e37_Zfat_L4",0.775411399194855,"L4","Ex"
"293",8468.64056698834,12669.3124739063,"query.iter3_cl0","cl108_e49_NA_L4",0.765641708776896,"L4","Ex"
"294",16000.6124686295,17450.34197622,"query.iter3_cl1","cl102_e53_Tmem74b_L23_IT",0.934933159155966,"L2/3 IT","Ex"
"317",16318.1578931849,9416.32828386749,"query.iter2_cl0","cl1007_i56_NA_Pvalb",0.5,"Pvalb","Inh"
"318",15239.334565103,8860.17593342525,"query.iter2_cl0","cl1007_i56_NA_Pvalb",0.5,"Pvalb","Inh"
"323",16489.6453139056,15153.9017406553,"query.iter3_cl1","cl102_e53_Tmem74b_L23_IT",0.943794707672318,"L2/3 IT","Ex"
"325",13882.3974603672,13315.3824365648,"query.iter2_cl3","cl5_i231_Nov_Vip",0.7807109869595,"Vip","Inh"
"326",1334.34048772899,15357.4662558356,"query.iter2_cl3","cl114_i47_Tbc1d2b_Lamp5",0.798608152876762,"Lamp5","Inh"
