"cell","x","y","query.cluster","match.cell2cluster","rmax.cell2cluster","subclass","broad_class"
"1157",7325.12634811392,4229.57624792769,"query.iter3_cl7","cl190_e26_Cdh15_L5_PT",0.0183795469744811,"L5 PT","Ex"
"1158",8482.79583008189,10710.35055121,"query.iter3_cl2","cl228_e21_Rev1_L6_CT",0.0220856724542213,"L6 PT","Ex"
"1159",16102.8273561137,6692.67335237621,"query.iter3_cl8","cl1_e421_Cst3_L4",0.0148635916530273,"L4","Ex"
"1162",12900.9144778098,12062.6632845601,"query.iter3_cl1","cl145_e37_Zfat_L4",0.0202119896684543,"L4","Ex"
"1163",10530.8811208135,14727.4585468846,"query.iter3_cl8","cl1_e421_Cst3_L4",0.016594530106363,"L4","Ex"
"1164",7320.26986847698,10385.3089565063,"query.iter3_cl6","cl185_i27_Slc4a7_Pvalb",0.0183795469744811,"Pvalb","Inh"
"1165",4939.83906740607,13541.2873951361,"query.iter3_cl3","cl44_e96_Chrna6_L5_PT",0.0183795469744811,"L5 PT","Ex"
"1166",5337.8453418603,17313.7910227412,"query.iter3_cl1","cl191_e26_Chadl_L6_IT",0.0148635916530273,"L6 IT","Ex"
"1167",13757.1918048859,15571.3000120436,"query.iter3_cl3","cl8_e168_Adam8_L6_IT",0.013193838799848,"L6 IT","Ex"
"1170",11571.5596423435,10618.5176167587,"query.iter2_cl3","cl1002_i29_Nts_Sst",0.0183795469744811,"Sst","Inh"
"1171",12681.6584719044,4239.86900360655,"query.iter3_cl2","cl27_e121_Gadd45a_L6_CT",0.016594530106363,"L6 PT","Ex"
"1172",11872.6700132827,1993.49346857608,"query.iter3_cl3","cl18_i146_Car4_Vip",0.0183795469744811,"Vip","Inh"
"1174",17069.8225048119,6237.95940544172,"query.iter3_cl0","cl111_e48_Zar1l_L23_IT",0.0148635916530273,"L2/3 IT","Ex"
"1176",12912.4070134648,12776.6643980859,"query.iter3_cl8","cl145_e37_Zfat_L4",0.013193838799848,"L4","Ex"
"1180",16167.8122032729,6490.55587469312,"query.iter3_cl8","cl103_e53_NA_L23_IT",0.013193838799848,"L2/3 IT","Ex"
"1181",17982.0384734312,8500.87877486591,"query.iter4_cl2","cl44_e96_Chrna6_L5_PT",0.0100683757751732,"L5 PT","Ex"
"1184",16840.417457297,10001.7279711467,"query.iter2_cl4","cl240_i20_Sall1_Vip",0.0202119896684543,"Vip","Inh"
"1185",9138.08115881867,9473.34076342327,"query.iter3_cl6","cl44_e96_Chrna6_L5_PT",0.016594530106363,"L5 PT","Ex"
"1186",13157.4792118357,14740.137124054,"query.iter2_cl2","cl35_i106_Bcl9_Sst",0.0819178376258774,"Sst","Inh"
"1187",7421.07714689402,10921.0361113037,"query.iter3_cl6","cl228_e21_Rev1_L6_CT",0.0202119896684543,"L6 PT","Ex"
